#code,NPTGCode,lines,lon,lat,name
QBY,9400ZZLUQBY1,J,-0.28578568164321,51.59434714807250,Queensbury
QWY,9400ZZLUQWY1,C,-0.18743446136457,51.51038005162460,Queensway
RCP,9400ZZLURVP1,D,-0.23625835394560,51.49413653149780,Ravenscourt Park
RLN,9400ZZLURYL1,MP,-0.37100556351776,51.57497670388130,Rayners Lane
RED,9400ZZLURBG1,C,0.04542311610758,51.57630179240060,Redbridge
RPK,9400ZZLURGP1,B,-0.14686263475286,51.52350550346830,Regents Park
RMD,9400ZZLURMD1,D,-0.30175421768689,51.46315964085970,Richmond
RKY,9400ZZLURKW1,M,-0.47371210701839,51.64027270698850,Rickmansworth
ROA,9400ZZLURYO1,H,-0.18823004302831,51.51901712033320,Royal Oak
ROD,9400ZZLURVY1,C,0.04386441546338,51.61711524120540,Roding Valley
RUI,9400ZZLURSP1,MP,-0.42145507401498,51.57144911322280,Ruislip
RUG,9400ZZLURSG1,C,-0.41103928492841,51.56058850307670,Ruislip Gardens
RUM,9400ZZLURSM1,MP,-0.41234579209326,51.57318767786700,Ruislip Manor
RSQ,9400ZZLURSQ1,P,-0.12431005564797,51.52291284508320,Russell Square
SVS,9400ZZLUSVS1,V,-0.07249188149500,51.58335418466470,Seven Sisters
SBC,9400ZZLUSBC1,C,-0.22630545901777,51.50556086849070,Shepherd's Bush
XSBM,9400ZZLUSBM1,H,-0.2264,51.5058,Shepherd's Bush Market
SSQ,9400ZZLUSSQ1,DH,-0.15648623169091,51.49228782409720,Sloane Square
SNB,9400ZZLUSNB1,C,0.02149046243869,51.58082701976080,Snaresbrook
SEL,9400ZZLUSEA1,P,-0.30701883924671,51.50136793634410,South Ealing
SHR,9400ZZLUSHH1,P,-0.35221157087043,51.56467757054850,South Harrow
SKN,9400ZZLUSKS1,DPH,-0.17392231088383,51.49399987276360,South Kensington
SKT,9400ZZLUSKT1,B,-0.30858867502022,51.57017168687130,South Kenton
SRP,9400ZZLUSRP1,C,-0.39865875717595,51.55651695797160,South Ruislip
SWM,9400ZZLUSWN1,N,-0.19197909402312,51.41528036588430,South Wimbledon
SWF,9400ZZLUSWF1,C,0.02731713374280,51.59172564827300,South Woodford
SFS,9400ZZLUSFS1,D,-0.20653754405539,51.44493132701890,Southfields
SGT,9400ZZLUSGT1,P,-0.12775839337105,51.63231971007180,Southgate
SWK,9400ZZLUSWK1,J,-0.10509183600618,51.50384300693900,Southwark
SJW,9400ZZLUSJW1,J,-0.17417235633673,51.53456451631530,St. John's Wood,St. John Wood
STP,9400ZZLUSPU1,C,-0.09757365447760,51.51480129673320,St. Paul's
SJP,9400ZZLUSJP1,DH,-0.13418374411553,51.49934545614030,St. James's Park
STB,9400ZZLUSFB1,D,-0.24545379523797,51.49479623145680,Stamford Brook
STA,9400ZZLUSTM1,J,-0.30310817135864,51.61961833683860,Stanmore
STG,9400ZZLUSGN1,DH,-0.04645866635082,51.52191062962780,Stepney Green
STK,9400ZZLUSKW1,NV,-0.12290931166210,51.47216653861570,Stockwell
SPK,9400ZZLUSGP1,B,-0.27540924757983,51.54392228583470,Stonebridge Park
SFD,9400ZZLUSTD1,CJ,-0.00319532957031,51.54130926596680,Stratford
SHL,9400ZZLUSUH1,P,-0.33621563204436,51.55699618923430,Sudbury Hill
STN,9400ZZLUSUT1,P,-0.31548269703372,51.55078245689710,Sudbury Town
SWC,9400ZZLUSWC1,J,-0.17475925302873,51.54331532015430,Swiss Cottage
TEM,9400ZZLUTMP1,DH,-0.11370308973837,51.51096998494440,Temple
THB,9400ZZLUTHB1,C,0.10312537666349,51.67171131730330,Theydon Bois
TBE,9400ZZLUTBC1,N,-0.15970053993575,51.43575962880830,Tooting Bec
TBY,9400ZZLUTBY1,N,-0.16797676330522,51.42743538966260,Tooting Broadway
TCR,9400ZZLUTCR1,CN,-0.13087051814094,51.51620955251380,Tottenham Court Road
TTH,9400ZZLUTMH1,V,-0.06028111636750,51.58804530152150,Tottenham Hale
TOT,9400ZZLUTAW1,N,-0.17926121292398,51.63020770476230,Totteridge & Whetstone
THL,9400ZZLUTWH1,DH,-0.07635369517461,51.51006595388410,Tower Hill
TPK,9400ZZLUTFP1,N,-0.13792488108064,51.55666681998890,Tufnell Park
TGR,9400ZZLUTNG1,DP,-0.25453298298794,51.49511172529810,Turnham Green
TPL,9400ZZLUTPN1,P,-0.10279227505582,51.59029677015470,Turnpike Lane
UPM,9400ZZLUUPM1,D,0.25108711606680,51.55888907616990,Upminster
UPB,9400ZZLUUPB1,D,0.23577122039992,51.55875050794730,Upminster Bridge
UPY,9400ZZLUUPY1,D,0.10156562559142,51.53833531248820,Upney
UPK,9400ZZLUUPK1,DH,0.03527318012916,51.53523330392110,Upton Park
UXB,9400ZZLUUXB1,MP,-0.47813947213628,51.54649637046050,Uxbridge
VUX,9400ZZLUVXL1,V,-0.12374895103059,51.48573337604020,Vauxhall
VIC,9400ZZLUVIC1,DHV,-0.14384485434014,51.49634217473100,Victoria
WAL,9400ZZLUWWL1,V,-0.01991863902501,51.58295470500250,Walthamstow Central
WAN,9400ZZLUWSD1,C,0.02874591933525,51.57552133692100,Wanstead
WST,9400ZZLUWRR1,VN,-0.13827231338321,51.52451151754790,Warren Street
WAR,9400ZZLUWKA1,B,-0.18367827068891,51.52327252274610,Warwick Avenue
WLO,9400ZZLUWLO1,WBNJ,-0.11406943580766,51.50350220717360,Waterloo
WAT,9400ZZLUWAF1,M,-0.41728063194596,51.65742097190640,Watford
WEM,9400ZZLUWYC1,B,-0.29685944537320,51.55232996597800,Wembley Central
WPK,9400ZZLUWYP2,MJ,-0.27925100872651,51.56326048395510,Wembley Park,Wembley Park fast
WAC,9400ZZLUWTA1,C,-0.28099328999188,51.51786058618780,West Acton
WBP,9400ZZLUWSP1,H,-0.20088377146790,51.52092084952600,Westbourne Park
WBT,9400ZZLUWBN1,D,-0.19554083437396,51.48725695000670,West Brompton
WFY,9400ZZLUWFN1,N,-0.18846886972823,51.60948570977260,West Finchley
WHM,9400ZZLUWHM1,DHJ,0.00503950709667,51.52818177294170,West Ham
WHD,9400ZZLUWHP1,J,-0.19074985025643,51.54670197909490,West Hampstead
WHR,9400ZZLUWHW1,J,-0.35292063098543,51.57977819370930,West Harrow
WKN,9400ZZLUWKN1,D,-0.20647711470530,51.49049168573210,West Kensington
WRP,9400ZZLUWRP1,C,-0.43788643675992,51.56952886292040,West Ruislip
WMS,9400ZZLUWSM1,DHJ,-0.12481826520070,51.50108458344640,Westminster
WCT,9400ZZLUWCY1,C,-0.22425431922798,51.51197811358700,White City
WCTSIDE,xxx,C,-0.22425431922798,51.51197811358700,White City Sidings
WCL,9400ZZLUWPL1,DH,-0.05998498296226,51.51945524689070,Whitechapel
WLG,9400ZZLUWIG1,J,-0.22241015208080,51.54930888824790,Willesden Green
WJN,9400ZZLUWJN1,B,-0.24428889451703,51.53219149710360,Willesden Junction
WDN,9400ZZLUWIM1,D,-0.20638158690359,51.42138371953170,Wimbledon
WMP,9400ZZLUWIP1,D,-0.19959527217312,51.43446418602540,Wimbledon Park
WGN,9400ZZLUWOG1,P,-0.10962638054845,51.59747603130840,Wood Green
WGNSIDE,xxx,P,-0.10962638054845,51.59747603130840,Wood Green Sidings
WFD,9400ZZLUWOF1,C,0.03403714415408,51.60703336518100,Woodford,Woodford Junction
WFDSIDE,xxx,C,0.03403714415408,51.60703336518100,Woodford Sidings
WSP,9400ZZLUWOP1,N,-0.18542102750884,51.61781140738290,Woodside Park
XWLN,9400ZZLUWLA1,H,-0.224166667,51.50979722,Wood Lane
